Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
4970 N 57TH ST,43.10809095,-87.98351359994213,43793,6030.089805645646,473,8605.54574369753,51,6089.299308994782,1,8884.818119889074,220,8040.852565205946,1043,6621.610452085793
5037 N 56TH ST,43.1092963,-87.98281510141022,43406,6043.292218229212,466,8639.764517131272,51,6122.225106548992,1,8741.853272296888,214,8058.564695904212,1012,6599.247158670633
5037 N 56TH ST,43.1092963,-87.98281510141022,43406,6043.292218229212,466,8639.764517131272,51,6122.225106548992,1,8741.853272296888,214,8058.564695904212,1012,6599.247158670633
5120 N 56TH ST,43.1105769,-87.98201784151877,42932,6052.632148546618,460,8679.449590755865,51,6159.036833757288,1,8589.118753543109,194,7935.943748492711,968,6532.100427034998
5033 N 55TH ST,43.1091601,-87.98153989053134,43564,6030.898291396947,473,8603.844040312233,51,6100.939733289061,1,8735.23956013753,217,8041.550505833854,1026,6634.401491031462
4972 N 55TH ST,43.10818355,-87.98104280098596,43947,6009.294656736289,486,8558.368668222929,51,6059.931621726571,1,8833.627000927123,222,8000.701402590698,1036,6600.228145749421
4964 N 55TH ST,43.1078894,-87.9810838,44025,6002.428386319905,489,8549.057480741712,51,6050.12130959477,1,8866.33362682365,223,7988.688225005654,1051,6629.008334524585
4854 N 55TH ST,43.1060281,-87.98112011680473,44738,5977.1315287399575,520,8516.286385414593,51,5987.521388108487,1,9069.85979091668,241,8006.087903016076,1121,6716.468912388544
4845 N 54TH ST,43.1057672,-87.98035892525125,44896,5967.275041728969,528,8492.335377547632,51,5969.304635570787,1,9086.830291515984,242,7974.834467638158,1136,6740.401657656914
4907 N 54TH ST,43.10685615,-87.98039416984898,44408,5976.21796305848,510,8515.405922118547,51,6006.046630291686,1,8968.435074589173,234,7990.448563103763,1100,6709.592837285122
4921 N 54TH ST,43.1070361,-87.98038400702347,44329,5977.651587329901,507,8518.386760774241,51,6012.050661949339,1,8948.635769969564,231,7977.636234312555,1089,6688.638810499556
5102 N 54TH ST,43.11035575,-87.9797766743007,43229,6035.797122520549,475,8626.419818090542,51,6124.676661090573,1,8577.087273045581,210,8021.541406185917,995,6611.07973165447
4815 N 53RD ST,43.1051556,-87.97922512628128,45229,5951.405191643922,532,8419.200608851716,51,5935.646485705837,1,9137.406831008358,250,7964.78390098275,1164,6774.983555985456
