Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
3860 N 80TH ST,43.0875637,-88.01200733530109,45704,6191.8997432890465,400,8116.5144840902185,54,6344.092091808193,0,0.0,176,6832.609359635447,1063,5776.502754669091
3950 N 77TH ST,43.0892142,-88.00825361772225,46504,6174.986260755312,415,8135.592250955653,54,6287.316147168579,0,0.0,203,7238.608686077329,1111,5950.7153462909455
3907 N 78TH ST,43.0883317,-88.01006458664659,46165,6183.848337686761,409,8126.9923601484015,54,6311.2378698932425,0,0.0,185,6975.920913939549,1091,5877.005150399903
3855 N 77TH ST,43.08750895,-88.00889774999999,46930,6186.166409917315,424,8095.737046563416,54,6271.089709571779,0,0.0,208,7221.824638093017,1124,5933.567226210464
3845 N 77TH ST,43.087288900000004,-88.00890154999999,47035,6189.165374458113,425,8086.729182579535,54,6267.614278116747,0,0.0,208,7208.343402591353,1128,5938.034666611123
7700 W VIENNA AV,43.08640305,-88.0088911,47463,6200.898838527443,431,8058.567164431379,54,6253.819609152799,0,0.0,216,7258.713312417745,1151,5979.50467798627
3822 N 78TH ST,43.08684065,-88.00947820051375,47006,6194.724056127874,425,8083.40163718552,54,6273.68499487089,0,0.0,208,7201.928706128789,1127,5927.796091469931
3828 N 78TH ST,43.086966399999994,-88.00948976412991,46916,6190.970252684513,423,8082.530614952156,54,6275.861189779396,0,0.0,207,7196.582427814511,1126,5930.1523042459985
3871 N 76TH ST,43.08784815,-88.00766500073287,47310,6184.93422252609,431,8096.721985410969,54,6249.790313071954,0,0.0,215,7289.241648825526,1145,5995.049331915831
3526 N 84TH ST,43.08317945,-88.01720295017057,45359,6246.744215066956,388,8007.844749727961,52,6287.244214093721,0,0.0,177,6735.636496937766,1075,5749.854751109192
3619 N 83RD ST,43.08382615,-88.01655434084472,45474,6246.348971520861,386,8008.656090522721,52,6275.090828858848,0,0.0,176,6736.1292003923245,1072,5749.781414644629
3624 N 83RD ST,43.0839749,-88.01598845000001,45702,6247.864157309477,390,8014.303828157647,53,6331.817416009611,0,0.0,177,6746.000242180709,1077,5762.48366182954
8131 W NASH ST,43.08418595,-88.0146600458507,46119,6238.921897900905,402,8030.742546584588,53,6297.017779624359,0,0.0,184,6842.058192495854,1082,5759.789468558383
3538 N 82ND ST,43.08348,-88.01475060869106,46308,6242.135012319437,403,7997.52242031157,53,6292.220520035888,0,0.0,189,6886.572704701636,1097,5790.14810116104
8036 W KEEFE AV,43.08281585,-88.01354377445526,46954,6237.064653415884,416,7971.1023351722915,53,6252.739561098217,0,0.0,202,7009.702741171929,1134,5871.916051024545
8128 W TOWNSEND ST,43.08158725,-88.01473099746718,46970,6255.27765498808,413,7936.103619332981,53,6275.881317994214,0,0.0,205,7022.760216729611,1138,5865.057170474838
3457 N 80TH ST,43.081913150000005,-88.01272809423088,47582,6239.37394012528,431,7955.057555433018,53,6222.679421123331,0,0.0,213,7084.657259245676,1166,5929.058500308041
3444 N 81ST ST,43.0817245,-88.01344365,47408,6246.9801978033365,428,7961.210078090915,53,6240.74548389751,0,0.0,209,7043.246508397425,1155,5900.301786487186
3523 N 76TH ST,43.08322225,-88.00770769469395,49364,6233.9684804965445,473,7997.339772626227,56,6312.86164529041,0,0.0,245,7361.718314216708,1262,6171.111989313535
3532 N 77TH ST,43.0834332,-88.00836177534623,49029,6235.157004056519,464,8000.140974021913,56,6332.77783525945,0,0.0,242,7367.444476476136,1247,6150.96114345876
3630 N 77TH ST,43.08419645,-88.00832414599844,48688,6225.186168064294,458,8018.448416126636,54,6207.28910828879,0,0.0,238,7366.716547916292,1235,6145.678491671075
3603-3605 N 77TH ST,39.97467564936871,-75.27064444332028,18449,6975.244573123239,480,7815.11776937831,172,5635.500837617736,1,8458.90397226266,485,7550.164793185695,1319,6806.396902651805
3612 N 79TH ST,43.083832099999995,-88.01071110044576,47732,6222.919385756349,440,8021.247254079606,53,6189.76676638242,0,0.0,218,7194.997031851339,1181,6012.676834360802
3520 N 80TH ST,43.08315765,-88.01198405,47426,6227.481742650905,427,7975.981672669846,53,6214.586390296098,0,0.0,209,7076.9958076325665,1159,5938.26660388413
3737 N 77TH ST,43.0853341,-88.00888735000001,47966,6214.644930483447,443,8046.520224054141,53,6166.462609799802,0,0.0,225,7305.651182658194,1191,6067.982270471573
3716 N 78TH ST,43.0848627,-88.00954095053669,47874,6218.15932050402,440,8032.6022381111015,53,6174.857151131855,0,0.0,223,7277.907232227611,1187,6049.748205947007
3752 N 78TH ST,43.08558515,-88.00953084241888,47561,6210.1762799393855,436,8058.310993424437,53,6185.323940103796,0,0.0,217,7245.988963526028,1163,6000.034289195161
3912 N 77TH ST,43.088419599999995,-88.00828949922386,46785,6177.94417408087,422,8118.458179326696,54,6273.330523715079,0,0.0,208,7256.479082924256,1120,5946.896861325334
3935 N 74TH ST,43.08890915,-88.00505918850165,47904,6176.997143939684,447,8123.596886225561,55,6284.533501095326,0,0.0,225,7382.900490564533,1175,6087.843111063823
3929 N 74TH ST,43.08879185,-88.00504989966629,47972,6178.8851057910415,448,8119.942780591685,55,6282.114885714984,0,0.0,226,7386.712109500207,1176,6085.326087536056
3954 N 72ND ST,43.08935005,-88.0015601,48858,6156.644036176935,492,8180.089364137876,57,6353.403656996897,0,0.0,264,7676.346338760805,1242,6245.39113076816
3913 N 69TH ST,43.08846045,-87.99855805,50141,6141.737344160039,527,8116.793972902424,59,6397.456617082581,0,0.0,276,7606.386884662024,1285,6264.249188477697
3918 N 70TH ST,43.0882275,-87.9992358008978,50029,6146.110661498281,527,8133.005464518094,59,6405.533974262495,0,0.0,275,7609.829368104537,1284,6263.76954328341
3946 N 70TH ST,43.0887964,-87.99921772488103,49847,6148.075091681127,522,8149.845128609721,59,6418.305246367104,0,0.0,274,7636.121774940752,1273,6259.697220155143
3952 N 70TH ST,43.0889234,-87.99922390349181,49792,6147.72558609837,521,8154.515692276543,59,6421.416561046858,0,0.0,273,7635.692126252558,1271,6260.349741932195
3975 N 68TH ST,43.0895467,-87.9972943,49955,6123.606751878202,529,8136.2071130069535,58,6335.486138670792,0,0.0,276,7626.558168643967,1283,6289.171115297006
3816 N 69TH ST,43.0867154,-87.99807285,50724,6122.39110238652,537,8023.746430258369,62,6524.457002051736,0,0.0,281,7522.451047789263,1294,6195.114756273509
3868 N 68TH ST,43.0878469,-87.99678017509933,50613,6109.295922531781,554,8095.406657190605,60,6408.530780846014,0,0.0,282,7550.265384328908,1299,6238.873186751984
3861 N 61ST ST,43.087641399999995,-87.98857347620392,51307,5945.650993085245,581,7807.362631135784,60,6233.452470310689,0,0.0,294,7339.456411615905,1342,6218.043246371564
3845 N 61ST ST,43.0873055,-87.98856825,51412,5943.369563262059,582,7789.431807216076,60,6225.236469636602,0,0.0,294,7317.4799702311375,1346,6211.512073743168
3848 N 61ST ST,43.08741335,-87.98800562379603,51392,5932.228738292301,582,7771.296225987531,60,6217.060784338003,0,0.0,295,7314.192509551095,1346,6209.8307223267475
3858 N 61ST ST,43.08763895,-87.98803227535166,51318,5934.0381404685395,582,7786.9779466442,60,6223.037528989986,0,0.0,294,7320.620744497088,1346,6222.160453144316
3912 N 71ST ST,43.0880866,-88.00039805,49769,6156.460567942629,516,8137.313520535839,59,6426.096213318444,0,0.0,272,7621.095885744032,1273,6249.546718197852
7001 W BECKETT AV,43.08573685,-87.9995396,50748,6140.887748692801,533,8015.861115759829,62,6534.0197728713265,0,0.0,281,7521.910251131499,1298,6191.822268035506
3825 N 70TH ST,43.0865855,-87.9988033089802,50631,6133.065783461058,530,8022.930960724473,61,6479.879684259338,0,0.0,280,7534.7627133160595,1290,6192.3359572462
7544 W NASH ST,43.08468995,-88.00648405000001,49192,6214.572877982238,471,8023.060566751047,56,6308.190183483042,0,0.0,245,7398.958372946242,1250,6166.849026650731
3822 N 75TH ST,43.08686405,-88.00571456715883,48564,6195.285950043195,460,8077.995553151846,55,6261.548948820014,0,0.0,239,7436.361820946487,1214,6134.034981345357
3822 N 75TH ST,43.08686405,-88.00571456715883,48564,6195.285950043195,460,8077.995553151846,55,6261.548948820014,0,0.0,239,7436.361820946487,1214,6134.034981345357
3734 N 75TH ST,43.0853539,-88.00493833198053,49469,6201.794557540607,492,8081.418360126046,58,6412.658006228543,0,0.0,253,7459.337203652659,1266,6206.631492109948
3716 N 75TH ST,43.0849472,-88.00485912490348,49646,6202.674598699681,498,8076.511210982109,58,6402.801472879467,0,0.0,256,7462.04832516861,1270,6198.316956202987
3716 N 75TH ST,43.0849472,-88.00485912490348,49646,6202.674598699681,498,8076.511210982109,58,6402.801472879467,0,0.0,256,7462.04832516861,1270,6198.316956202987
7314 W VIENNA CT,43.08591595,-88.00402595285644,49475,6187.230957829807,502,8114.196764234647,59,6462.153752375417,0,0.0,258,7506.2077352762135,1263,6200.984471520237
7359 W POTOMAC AV,43.08754895,-88.00400121070292,48799,6176.993618301703,476,8112.814341399943,58,6431.342699194249,0,0.0,249,7516.8472809387185,1236,6194.441684397711
3842 N 74TH ST,43.087261749999996,-88.00452195044518,48775,6183.96502679108,471,8097.3630302333595,57,6374.734724981357,0,0.0,247,7498.886084533331,1232,6180.86370460935
7398 W POTOMAC AV,43.08879875,-88.0044167151103,48210,6177.955385566192,454,8118.698205965923,56,6336.181559984581,0,0.0,232,7432.49819630997,1189,6114.325148991588
3945 N 61ST ST,43.0891578,-87.9885583750818,51002,5969.424672411828,577,7890.049274484114,60,6271.588772985739,0,0.0,292,7420.941395830257,1335,6279.659115206221
6200 W MELVINA ST,43.0882574,-87.98989531661256,51179,5985.8898667800195,577,7891.069246031659,60,6274.770945365724,0,0.0,292,7408.009758150321,1337,6254.287036175189
3956 N 64TH ST,43.08937215,-87.99178289676851,50717,6030.932598250619,565,8003.49514070275,60,6342.552482013347,0,0.0,285,7486.245460736481,1306,6252.939150497284
3913 N 63RD ST,43.088476549999996,-87.99112045068735,51065,6013.556547036374,570,7934.293943195877,60,6305.462418075129,0,0.0,291,7457.210584901305,1326,6252.526223441832
3903 N 67TH ST,41.29427995,-96.01520250259726,18755,6474.332042187297,295,6752.324987254383,78,5849.950312672831,11,5744.5523133694505,172,6259.733524574762,433,5906.745391219196
6617-6619 W CAPITOL DR,33.75907640177779,-118.29309455048138,6589,6674.952683788654,156,6309.582927071583,33,5893.772039454111,2,9474.871598371497,229,7829.721992792612,575,7420.594689016562
3941 N 64TH ST,43.0890226,-87.99236464803451,50838,6044.036949917272,565,8007.155500500309,60,6345.949773289205,0,0.0,285,7484.569262106032,1308,6248.704225656984
3914 N 65TH ST,43.088473199999996,-87.99304362538922,50932,6051.7445638467925,569,8016.876675081189,59,6284.429266356835,0,0.0,285,7474.034697352917,1313,6244.905003884768
6228 W NASH ST,43.084626799999995,-87.9905932427317,52140,5969.922629042941,583,7717.163290180173,60,6199.675276583234,0,0.0,299,7265.527658935197,1369,6169.534369602055
3605 N 60TH ST,43.08371055,-87.98746511103553,52344,5885.721857419866,583,7517.772523474582,59,6055.375815950792,0,0.0,299,7097.058902623731,1371,6083.987366893385
3628 N 61ST ST,43.0842352,-87.98807772018986,52274,5908.917460980623,583,7577.967078024855,59,6079.007789815993,0,0.0,299,7150.925917965666,1370,6115.302758648608
3629 N 61ST ST,43.084217499999994,-87.98863186780403,52263,5920.511309281698,583,7601.9876201603,59,6088.444726863146,0,0.0,299,7169.415930922983,1370,6122.304559687126
3515 N 61ST ST,43.08309705,-87.98866465,52488,5908.235853442688,583,7534.632725494048,59,6061.878971623596,0,0.0,299,7101.926563892722,1371,6071.371606657843
3500 N 62ND ST,43.08286,-87.9892821,52541,5920.861312278307,583,7548.635212429101,59,6067.646722525544,0,0.0,299,7109.791914916652,1372,6072.266211806596
3530 N 64TH ST,43.0834389,-87.99189375,52386,5989.584380132612,581,7696.877587294757,59,6131.9925395245455,0,0.0,300,7250.308907539619,1372,6142.456838693414
3815 N 60TH ST,43.08670975,-87.9873862,51641,5916.154501084627,581,7694.738580811378,60,6188.790903306197,0,0.0,298,7274.536827784465,1362,6209.441048465107
