Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
2239-2241 N 55TH ST,39.47878275,-87.33282410000001,1093,4902.3799820549675,227,4024.9994759452,20,5856.743345889491,0,0.0,33,6095.194162309085,243,6268.911486164141
2209 N 56TH ST,47.6686314,-122.3324978,42534,5080.222964560305,1502,5580.844492035581,58,5432.634906348825,1,6640.384056342147,1125,5165.861003532457,2767,5121.151815888164
2155-2157 N 56TH ST,39.98907849206111,-75.23552554816462,23877,6396.469283676176,619,6206.698625397792,212,6135.169904628647,4,7718.411805418433,684,6999.3435182338035,1613,6470.685616994509
2101-2103 N 55TH ST,39.47878275,-87.33282410000001,1093,4902.3799820549675,227,4024.9994759452,20,5856.743345889491,0,0.0,33,6095.194162309085,243,6268.911486164141
2160 N 56TH ST,43.05855215,-87.98283064996508,58751,5861.7676814650085,603,6137.433063766217,65,6116.069629351445,1,8317.872189503103,359,6293.079627854923,1528,5598.052767541979
2129-2131 N 51ST ST,39.97344529857493,-75.22396428877157,24915,5905.429786578304,617,5757.777997346629,224,5809.09987461948,4,6652.70364257742,691,6008.378674886923,1648,6016.912815973287
2022-2024 N 52ND ST,39.9795895,-75.22527325,24751,6000.140556692084,625,5801.005035992942,220,5870.667237287284,4,6811.512041300531,690,6234.04746823972,1646,6116.081332276271
1813-1815 N 54TH ST,39.9634009502407,-75.22802885804178,24189,5883.979207455712,566,5805.36892754106,222,5724.888987105078,4,6917.220123125546,686,6017.122004598286,1659,6121.565193357354
5439-5441 W GALENA ST,43.0514848853561,-87.9558626579295,59242,5576.763095880875,591,4622.833012023549,57,5087.628915645748,1,8699.20513750378,363,5303.704259176324,1498,5325.927998643032
5423-5425 W GALENA ST,43.051331102828584,-87.9292957499995,55663,5513.379874892201,562,3360.6864929254425,54,4815.849242844746,0,0.0,342,4450.463648928837,1377,5217.568859055759
5424 W CHERRY ST,43.05043875,-87.98192207182987,59518,5889.966840295402,604,5867.26443089777,62,5988.102650070713,1,7514.677028918501,367,6114.427794815517,1550,5573.612992492235
5428-5430 W CHERRY ST,42.01722545,-87.8209505,19425,6846.695724718456,176,6618.8105829359765,35,7790.347177554391,1,5622.522411384492,246,6954.220161338435,1120,7051.124458377453
1524 N 54TH ST,39.976377299999996,-75.22997584615142,24451,6081.669899456418,623,6062.257485387503,215,5744.491176979197,4,7094.726094406151,687,6354.537018860383,1619,6138.0567960829585
1720 N 59TH ST,39.9780749,-75.2391267,23710,6350.5902566366985,611,6466.179943559509,210,5813.302528671444,4,7768.047542874621,677,6816.019919187796,1593,6373.643824499185
1841 N 59TH ST,39.98026515,-75.23904804648244,23644,6363.725734187906,608,6413.670061263933,210,5872.309545236091,4,7792.318182108382,676,6860.720122107459,1592,6391.566513033122
2011 N 53RD ST,41.27825835,-95.99591968370297,19409,5441.470232576638,355,6233.980486010172,90,5712.273717579166,10,4280.187789577761,187,5474.420152205195,445,5292.9678179900975
2010 N 53RD ST,40.832637000000005,-96.64689339302309,15170,4855.980537932074,173,5584.931107083544,14,5042.98972169565,4,5020.61379291027,137,5251.837885730096,421,4620.035312154165
2122-2124 N 60TH ST,39.98201734185445,-75.241377717854,23417,6450.876689447428,617,6571.981128558293,207,5906.2160463065175,4,7989.852995826774,676,7027.3209748573245,1591,6483.888768131144
2135-2137 N 54TH ST,39.9634009502407,-75.22802885804178,24189,5883.979207455712,566,5805.36892754106,222,5724.888987105078,4,6917.220123125546,686,6017.122004598286,1659,6121.565193357354
2141 N 54TH ST,40.8340604,-96.64605987504473,15103,4867.392176658815,173,5695.174507171639,14,5155.369757427846,4,5122.758207381789,137,5353.639957628185,421,4705.604426585759
2109 N 53RD ST,43.0574686,-87.98036679961751,59009,5827.5086498381515,602,5975.046574722994,62,5884.291573678445,1,8281.441375237122,361,6192.643849593022,1530,5559.89522159374
2120 N 54TH ST,43.0577016,-87.98062710196601,58975,5830.881429635294,602,5995.409021072181,63,5953.592876932125,1,8297.140376561509,360,6198.623684020189,1529,5563.011716901877
2141 N 53RD ST,43.05812835,-87.98048984028792,58915,5825.839227676967,602,6003.620265812583,63,5948.635411379957,1,8345.210998674673,360,6208.475816876769,1529,5567.738459830129
2178 N 53RD ST,43.0588831,-87.97963382229881,58840,5808.418362329571,603,5996.481363962929,63,5928.650126332532,1,8449.44636275537,360,6206.468803728074,1530,5573.918264387336
2150 N 53RD ST,43.058294399999994,-87.9796327,58903,5809.981626398646,602,5968.7891113831365,63,5930.811266952708,1,8389.21092741853,360,6185.584662854802,1530,5564.489942862411
