Address,Latitude,Longitude,TspNum,TspDst,AtrNum,AtrDst,EdcNum,EdcDst,HthNum,HthDst,RstNum,RstDst,RtlNum,RtlDst
3312-3314 S DAYFIELD AV,42.984484359569905,-87.88411619674966,35522,6548.147638193709,462,6996.15103044803,38,6514.562018480727,0,0.0,278,5943.925022311994,819,6446.332829876312
3301 S DAYFIELD AV,42.9838829,-87.88408572088305,35375,6553.63204909262,459,7035.635220175138,37,6446.994828175393,0,0.0,278,5988.76923969575,818,6481.841527715411
3334 S ELLEN ST,42.983255650000004,-87.884144021612,35284,6561.891158965355,456,7075.229546079559,36,6372.035982196989,0,0.0,278,6032.417112221872,814,6502.611194236155
3295 S ELLEN ST,42.98372155,-87.8851906818382,35725,6548.021767729115,458,7012.569305436957,38,6506.736108108901,0,0.0,278,5963.384461934892,823,6467.321636446097
2324 E FERNWOOD AV,42.986894649999996,-87.88081838629454,35181,6582.53734539517,480,6982.355809753847,37,6450.3376579772375,0,0.0,279,5902.955250915649,802,6364.1621103208745
2341 E EUCLID AV,42.98743155,-87.88033330057064,35169,6587.2824119551005,480,6947.3593587499245,37,6448.856821616567,0,0.0,279,5883.013243049533,797,6330.333920251292
2353 E OKLAHOMA AV,42.987880849999996,-87.88000007485749,35231,6595.324426283325,483,6935.078510845006,37,6445.126035232088,0,0.0,279,5864.169911406482,797,6318.252650570304
2348 E EUCLID AV,42.9877642,-87.88011509772704,35222,6592.639652309606,483,6942.26193276242,37,6444.8553174072495,0,0.0,279,5867.8806401472575,797,6320.021924099217
2240 E EUCLID AV,42.9877813,-87.88195387554546,35708,6558.695525219545,484,6887.983407175378,37,6368.156130747709,0,0.0,280,5810.262347147186,805,6271.814565689865
3286 S SWAIN CT,42.9848133,-87.88029745333188,34621,6611.315419476325,466,7108.579854736226,34,6248.729848906068,0,0.0,276,6029.982267700765,798,6499.784839529022
3332 S KINNICKINNIC AV,42.98417215,-87.88102405335418,34629,6599.7186911326435,459,7102.076408533869,34,6244.896544702606,0,0.0,275,6033.613778607732,798,6507.826727673045
1933-1939 E OKLAHOMA AV,35.98470252539432,-83.92755164677439,4055,4914.691404632126,36,4179.588879529948,36,5016.888727169866,1,5178.88677940386,104,3952.3639593153703,229,5846.904615971021
2008 E EUCLID AV,42.98765625,-87.8843422312012,36347,6522.404960908929,482,6814.25467492229,37,6277.979417380816,0,0.0,282,5761.2742641891355,840,6330.646813964462
1905--A E EUCLID AV,42.382691698255485,-83.06294738949003,27109,6165.287027794743,381,5182.957648849685,60,6503.217428591461,0,0.0,306,6216.806072323855,1159,6645.791214597195
1931 E HILLCREST AV,42.9867862,-87.88506993594783,36432,6526.619086816373,479,6857.010003380148,38,6382.635955681189,0,0.0,286,5859.005555816214,842,6360.8733683913115
3163 S KINNICKINNIC AV,42.98680525,-87.88302619499146,35772,6547.592340593989,479,6915.547691098856,37,6365.121751787272,0,0.0,281,5856.550098163191,811,6311.823646255484
2042 E FERNWOOD AV,42.9866177,-87.8838957335312,35987,6537.453353807918,478,6900.929846066243,38,6435.5010333719,0,0.0,285,5897.655939256624,831,6374.791724052617
1826 E FERNWOOD AV,42.9859639,-87.88625155685986,36642,6523.779972327542,473,6863.751933011657,38,6371.126167146623,0,0.0,288,5908.000502924455,851,6399.584249517113
1917 E FERNWOOD AV,42.98578865,-87.88543098213825,36325,6532.045418351992,472,6897.1841521173565,38,6409.546197268396,0,0.0,288,5948.013250833549,840,6398.545844567611
3460 S ALABAMA AV,42.98147445,-87.8880139318176,36005,6536.637153219172,460,7166.569536961442,36,6309.853782328199,0,0.0,287,6165.189467324998,862,6656.057266582626
3406 S ALABAMA AV,42.98258475,-87.8879822755487,36282,6528.204350571909,460,7059.125391834741,37,6361.471440193694,0,0.0,286,6071.60910877777,872,6625.6445971755575
3451 S IOWA AV,42.9816598,-87.88516115,35167,6560.214459559808,455,7195.0623415431755,35,6296.317664955631,0,0.0,280,6144.307461086985,809,6543.574236300745
2110 E VOLLMER AV,42.9820953,-87.88287398248536,34571,6579.931048564517,456,7225.194905709858,35,6362.264916561326,0,0.0,276,6132.008028386796,795,6549.452079513241
2232 E MORGAN AV,42.9811591,-87.8814049875048,33951,6608.364583983394,453,7342.38249664568,35,6455.238515877412,0,0.0,276,6251.124097172128,789,6647.315049104048
2245 E VOLLMER AV,42.9817037,-87.88102620000001,34019,6614.168376792542,455,7313.568286728009,35,6448.056340323912,0,0.0,275,6211.347794212511,789,6627.929525999356
2223 E MORGAN AV,42.98076135,-87.8817882518376,33882,6597.8959211101555,451,7357.368078021613,35,6456.9068793829465,0,0.0,276,6266.62738357331,786,6644.474717833892
2251-2253 E MORGAN AV,42.98101080497444,-87.88971704998082,36301,6516.446806136425,469,7222.991069689307,36,6274.240377273734,0,0.0,289,6176.197712071268,894,6737.326665740729
3523 S ELLEN ST,42.9804318,-87.88229715,33934,6592.481895401425,452,7379.791758117296,35,6451.548533953019,0,0.0,275,6259.504853284261,785,6640.599735447253
2122 E HOLT AV,42.9829675,-87.8827425198153,34805,6581.353598623501,456,7144.986536843672,35,6332.84779232994,0,0.0,276,6072.8655174057485,797,6506.562338592407
2719 E OKLAHOMA AV,42.987837999999996,-87.87519469695638,33904,6687.648613662458,481,7094.006985273217,35,6463.16868029889,0,0.0,278,6053.495640456458,788,6511.877876825564
3341 S ILLINOIS AV,42.98353955,-87.87510922056708,32828,6702.557329841637,453,7326.994117866599,34,6510.598660787043,0,0.0,272,6269.263602958236,778,6733.672230974637
3302 S ILLINOIS AV,42.98433675,-87.87462080359657,32793,6699.3946517143495,456,7288.299071192259,34,6502.888071623825,0,0.0,270,6207.7936554309335,777,6703.693823421117
3324 S ILLINOIS AV,42.98387755,-87.87464815,32709,6702.412438849438,454,7318.079653332331,34,6518.153992680541,0,0.0,272,6265.659587312088,777,6730.682533817935
3364 S ILLINOIS AV,42.9830347,-87.874665017394,32491,6703.144566780119,449,7366.421861072878,34,6548.20608242381,0,0.0,271,6308.5299000424675,773,6765.1926363093835
3460 S INDIANA AV,42.9813662,-87.87588555084274,32477,6693.639900648138,446,7462.2752677172575,34,6560.66978860991,0,0.0,272,6387.705112294019,770,6800.212238694776
3145 S NEW YORK AV,42.9870507,-87.8784733,34613,6626.867006040012,479,7038.77790872015,37,6542.266289966076,0,0.0,279,5983.997861868881,793,6421.999040802109
3279 S NEW YORK AV,42.9849452,-87.87858042363771,34203,6641.944659520963,466,7152.929978413169,34,6313.244474879861,0,0.0,276,6087.753593517879,793,6547.702389026916
2426 E OHIO AV,42.984860749999996,-87.8785877180789,34173,6641.1020686380025,465,7154.5333411455595,34,6316.07481284238,0,0.0,276,6093.295682682739,793,6552.629046106243
3204 S PENNSYLVANIA AV,42.9865089,-87.8792543,34726,6618.242058791907,476,7044.756902066753,37,6530.725439793437,0,0.0,278,5977.052732528281,797,6436.935967860283
3270 S NEW YORK AV,42.9850651,-87.8780612008262,34067,6648.301808535776,467,7165.386482694368,34,6330.278045586742,0,0.0,280,6155.72579674129,792,6560.005658041472
3137 S DELAWARE AV,42.9871805,-87.87731190939394,34357,6651.166067605831,479,7066.707991243472,36,6492.144494795508,0,0.0,279,6022.521880582348,792,6464.89472692182
2420 E HOLT AV,42.98292735,-87.8787638491589,33716,6644.486814554024,455,7269.955463962711,34,6382.855486056675,0,0.0,274,6193.515217644631,789,6649.089622382266
3310 S PENNSYLVANIA AV,42.984272000000004,-87.8792650553174,34190,6629.9029347060305,460,7156.376550105401,34,6310.69468642443,0,0.0,275,6093.466658361255,794,6562.839855657323
3313 S DELAWARE AV,39.90653189261745,-75.13913457718121,17506,6670.766936673028,388,6386.817067025702,203,6818.041427038496,3,5543.515007637051,633,6164.86237710793,1435,6527.849739719575
3631-3633 S KANSAS AV,34.00209118227107,-118.29374863858676,25621,6700.034370499443,390,7050.636447807747,149,6627.027244392847,6,5706.93112010859,833,7356.148133477934,1486,7448.942557991979
3627 S KANSAS AV,42.9785161,-87.88740250000001,34866,6547.642384450591,452,7424.287289722659,36,6457.553536662994,0,0.0,284,6359.458411111594,834,6763.008411391563
3665 S ALABAMA AV,42.97773805,-87.88855990514642,34968,6541.240173998915,460,7515.56037030457,35,6352.393850737874,0,0.0,284,6383.618671182224,864,6880.9414204639515
3730 S BRUST AV,42.976678,-87.88924157503936,34847,6541.415790010515,460,7600.493640311178,34,6268.675146042973,0,0.0,283,6430.980000409516,857,6895.955634585592
